file_extension,EntryPoint,PEType,MachineType,magic_number,bytes_on_last_page,pages_in_file,relocations,size_of_header,min_extra_paragraphs,max_extra_paragraphs,init_ss_value,init_sp_value,init_ip_value,init_cs_value,over_lay_number,oem_identifier,address_of_ne_header,Magic,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,OperatingSystemVersion,ImageVersion,SizeOfImage,SizeOfHeaders,Checksum,Subsystem,DllCharacteristics,SizeofStackReserve,SizeofStackCommit,SizeofHeapCommit,SizeofHeapReserve,LoaderFlags,text_VirtualSize,text_VirtualAddress,text_SizeOfRawData,text_PointerToRawData,text_PointerToRelocations,text_PointerToLineNumbers,text_Characteristics,rdata_VirtualSize,rdata_VirtualAddress,rdata_SizeOfRawData,rdata_PointerToRawData,rdata_PointerToRelocations,rdata_PointerToLineNumbers,rdata_Characteristics,registry_read,registry_write,registry_delete,registry_total,network_threats,network_dns,network_http,network_connections,processes_malicious,processes_suspicious,processes_monitored,total_procsses,files_malicious,files_suspicious,files_text,files_unknown,dlls_calls,apis,label
0,40197,0,1,1,144,3,0,4,0,65535,0,184,0,0,0,0,128,1,2215936,6656,0,2223614,8192,0,4194304,8192,512,7,0,2244608,512,0,3,1353509747,1048576,4096,4096,1048576,0,2215428,8192,2215936,512,0,0,219099962,4070,49152,4096,49152,0,0,1371055239,86.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0,43472,0,1,1,144,3,0,4,0,65535,0,184,0,0,0,0,200,1,40448,54272,0,43472,4096,45056,4194304,4096,512,12,0,102400,1024,0,4,1388683626,1048576,4096,4096,1048576,0,39973,4096,40448,1024,0,0,219099962,9782,45056,10240,41472,0,0,1371055239,384.0,0.0,0.0,391.0,0.0,0.0,0.0,0.0,5.0,0.0,12.0,53.0,2.0,437.0,3.0,39.0,1.0,9.0,1
0,6106496,1,0,1,144,3,0,4,0,65535,0,184,0,0,0,0,128,2,201216,1669632,0,11826494,8192,155648,4194304,8192,512,14,9,3186688,512,0,3,1941805941,1048576,4096,4096,1048576,0,513510,4096,192000,4096,0,0,219099962,60720,36864,4096,37888,0,0,1371055239,762.0,3.0,1.0,876.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,2.0,0.0,0.0,2.0,0.0,0
0,14054,0,1,1,144,3,0,4,0,65535,0,184,0,0,0,0,216,1,65024,32420864,0,25991,4096,69632,4194304,4096,512,10,0,32497664,1024,304000,4,982994394,1048576,4096,4096,1048576,0,65024,4096,65024,1024,0,0,219099962,71952,340552,74376,300644,0,0,1371055239,10973.0,19.0,0.0,10992.0,0.0,1339.0,19.0,892.0,2.0,0.0,6.0,104.0,0.0,184.0,0.0,0.0,0.0,0.0,1
0,124818,0,1,1,144,3,0,4,0,65535,0,184,0,0,0,0,128,1,116736,448512,0,124818,8192,131072,4194304,8192,512,7,0,589824,512,0,4,768203936,1048576,4096,4096,1048576,0,116632,8192,116736,512,0,0,219099962,75522,223332,75776,205398,0,0,1371055239,1516.0,16.0,8.0,1540.0,0.0,4.0,0.0,4.0,2.0,0.0,3.0,40.0,4.0,4.0,0.0,2.0,1.0,1.0,1
0,15820,0,1,1,48550,4322,41454,26392,27714,11108,43565,40142,8888,21353,31215,48034,248,1,44544,123904,0,15820,4096,49152,4194304,4096,512,12,0,180224,1024,0,4,204491783,1048576,4096,4096,1048576,0,44228,4096,44544,1024,0,0,219099962,11054,49152,11264,45568,0,0,1371055239,1706.0,0.0,0.0,1774.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,43.0,0.0,3.0,0.0,1.0,1.0,1.0,1
0,377840,1,0,1,144,3,4,0,0,65535,0,139,0,0,0,0,128,2,2631680,1115648,0,377840,4096,53248,4194304,4096,512,16,9,7331840,4096,0,3,768203936,2097152,4096,4096,1048576,0,2631403,4096,2631680,1536,0,0,2136587584,3417884,2637824,3418112,2633216,0,0,1371055239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,0
0,1054060,0,1,1,13624,3,0,4,0,65535,0,184,0,0,0,0,256,1,24576,126464,0,30318,4096,282710,4194304,4096,512,7,9,1499136,4096,0,3,204491783,1048576,4096,4096,1048576,0,652338,4096,871936,512,0,0,219099962,4732,1654784,5632,37888,0,0,1371055239,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,26.0,0.0,104.0,0.0,0.0,1.0,13.0,0
0,1020478,0,1,1,144,3,0,4,0,65535,0,184,0,0,0,0,128,1,1012736,5120,0,1020478,8192,1024000,4194304,8192,512,7,0,1040384,512,0,4,1353509747,1048576,4096,4096,1048576,0,1012292,8192,1012736,512,0,0,219099962,142326,323584,142336,318976,0,0,1371055239,164.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,40.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0,11056,0,1,1,144,3,0,4,0,65535,0,184,0,0,0,0,224,1,159744,61440,0,11056,4096,4096,4194304,4096,4096,7,0,225280,4096,0,4,464030357,1048576,4096,4096,1048576,0,156336,4096,159744,4096,0,0,219099962,6281,163840,8192,163840,0,0,1371055239,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,2.0,0.0,2.0,68.0,0
